Month, Av Temp,hourly ,temperature
1,5.3,,5.243
2,3.1,,4.663
3,4.9,,4.525
4,9.5,,4.789
5,12.9,,4.79
6,15.9,,4.62
7,18.7,,4.542
8,16.7,,4.45
9,13.8,,4.276
10,10.7,,4.686
11,8.2,,5.34
12,6.8,,5.907
,,,6.279
,,,6.439
,,,6.218
,,,5.543
,,,5.082
,,,5.282
,,,5.558
,,,5.912
,,,5.867
,,,5.229
,,,4.471
,,,3.954
,,,4.041
,,,4.104
,,,3.535
,,,2.858
,,,2.502
,,,2.712
,,,2.744
,,,2.823
,,,3.133
,,,3.912
,,,5.072
,,,6.059
,,,7.002
,,,7.99
,,,8.988
,,,8.94
,,,8.211
,,,7.587
,,,7.357
,,,7.785
,,,8.631
,,,9.857
,,,11.305
,,,10.986
,,,8.516
,,,6.968
,,,6.418
,,,6.062
,,,5.837
,,,5.923
,,,6.128
,,,6.397
,,,6.589
,,,7.059
,,,7.668
,,,8.147
,,,8.269
,,,8.095
,,,7.741
,,,7.208
,,,6.866
,,,6.7
,,,6.405
,,,6.118
,,,5.798
,,,5.518
,,,5.447
,,,4.892
,,,4.303
,,,4.556
,,,4.838
,,,5.016
,,,4.959
,,,4.938
,,,5.284
,,,6.048
,,,8.172
,,,10.258
,,,10.882
,,,10.725
,,,10.292
,,,9.37
,,,8.298
,,,7.413
,,,6.59
,,,5.846
,,,5.379
,,,5.106
,,,4.914
,,,4.469
,,,3.587
,,,3.238
,,,3.315
,,,3.538
,,,3.961
,,,4.631
,,,5.196
,,,5.238
,,,4.536
,,,3.811
,,,3.757
,,,4.375
,,,5.137
,,,5.825
,,,6.306
,,,6.358
,,,5.944
,,,5.146
,,,4.215
,,,3.532
,,,3.028
,,,2.795
,,,2.863
,,,2.969
,,,2.878
,,,2.656
,,,2.376
,,,2.051
,,,1.732
,,,1.542
,,,1.294
,,,1.143
,,,1.116
,,,1.037
,,,0.992
,,,1.329
,,,1.958
,,,2.747
,,,3.469
,,,3.986
,,,4.209
,,,3.968
,,,3.362
,,,2.727
,,,2.278
,,,1.774
,,,1.213
,,,0.769
,,,0.34
,,,-0.087
,,,-0.473
,,,-0.578
,,,-0.667
,,,-0.895
,,,-1.087
,,,-1.124
,,,-0.977
,,,-0.638
,,,-0.003
,,,0.663
,,,1.677
,,,2.845
,,,3.505
,,,3.63
,,,3.225
,,,2.042
,,,0.652
,,,-0.374
,,,-1.087
,,,-1.542
,,,-1.83
,,,-2.047
,,,-2.219
,,,-2.304
,,,-2.359
,,,-2.441
,,,-2.446
,,,-2.248
,,,-1.911
,,,-1.471
,,,-1.164
,,,-0.777
,,,-0.337
,,,0.423
,,,1.316
,,,2.303
,,,3.028
,,,3.261
,,,3.083
,,,2.484
,,,2.142
,,,2.08
,,,1.931
,,,1.731
,,,1.594
,,,1.679
,,,1.726
,,,1.69
,,,1.629
,,,1.638
,,,1.686
,,,1.697
,,,1.796
,,,1.908
,,,2.133
,,,2.422
,,,2.748
,,,3.238
,,,3.707
,,,4.197
,,,4.554
,,,4.756
,,,4.687
,,,4.406
,,,4.249
,,,4.464
,,,4.836
,,,5.138
,,,5.543
,,,5.941
,,,6.322
,,,6.588
,,,6.636
,,,6.57
,,,6.469
,,,6.315
,,,6.22
,,,6.149
,,,5.727
,,,5.044
,,,4.562
,,,4.948
,,,5.643
,,,6.28
,,,6.766
,,,7.056
,,,6.817
,,,5.831
,,,5.118
,,,5.122
,,,5.18
,,,5.119
,,,4.941
,,,4.696
,,,4.459
,,,4.119
,,,3.697
,,,3.586
,,,3.676
,,,3.51
,,,3.586
,,,3.594
,,,3.525
,,,3.605
,,,3.715
,,,4.106
,,,4.674
,,,5.288
,,,5.633
,,,5.633
,,,5.494
,,,5.216
,,,4.817
,,,4.602
,,,4.387
,,,4.005
,,,3.682
,,,3.491
,,,3.418
,,,3.448
,,,3.429
,,,3.517
,,,3.572
,,,3.628
,,,3.558
,,,3.4
,,,3.383
,,,3.353
,,,3.745
,,,4.726
,,,5.384
,,,5.794
,,,6.086
,,,6.328
,,,6.226
,,,5.557
,,,5.153
,,,5.312
,,,5.232
,,,5.152
,,,4.973
,,,4.716
,,,4.417
,,,4.009
,,,3.758
,,,3.61
,,,3.538
,,,3.604
,,,3.616
,,,3.679
,,,3.758
,,,3.877
,,,4.116
,,,4.707
,,,5.44
,,,6.039
,,,6.41
,,,6.554
,,,6.439
,,,5.958
,,,5.329
,,,4.878
,,,4.512
,,,4.238
,,,4.017
,,,3.753
,,,3.428
,,,3.056
,,,2.711
,,,2.414
,,,2.025
,,,1.689
,,,1.519
,,,1.341
,,,1.319
,,,1.173
,,,1.453
,,,2.893
,,,4.027
,,,4.732
,,,4.905
,,,4.926
,,,4.488
,,,2.685
,,,0.843
,,,0.422
,,,0.578
,,,1.189
,,,1.946
,,,2.586
,,,3.135
,,,3.558
,,,3.88
,,,4.237
,,,4.661
,,,5.131
,,,5.569
,,,5.945
,,,6.649
,,,7.438
,,,8.065
,,,8.762
,,,9.441
,,,9.844
,,,9.691
,,,9.157
,,,8.449
,,,7.646
,,,6.887
,,,6.368
,,,5.757
,,,5.101
,,,4.525
,,,4.321
,,,4.26
,,,4.317
,,,4.492
,,,4.623
,,,4.583
,,,4.399
,,,4.022
,,,3.588
,,,3.318
,,,3.179
,,,3.221
,,,3.715
,,,4.329
,,,4.754
,,,4.86
,,,4.584
,,,4.137
,,,3.503
,,,2.891
,,,2.584
,,,2.308
,,,2.186
,,,2.096
,,,1.882
,,,1.657
,,,1.514
,,,1.437
,,,1.534
,,,1.543
,,,1.395
,,,1.788
,,,2.235
,,,2.34
,,,2.292
,,,2.427
,,,3.214
,,,4.18
,,,4.879
,,,5.293
,,,5.399
,,,5.07
,,,4.268
,,,3.435
,,,3.254
,,,3.217
,,,3.292
,,,3.341
,,,3.554
,,,3.942
,,,4.742
,,,7.301
,,,9.092
,,,9.894
,,,9.422
,,,7.885
,,,6.331
,,,4.897
,,,4.067
,,,3.899
,,,4.666
,,,5.728
,,,6.343
,,,6.43
,,,6.139
,,,5.683
,,,5.003
,,,4.239
,,,3.755
,,,3.327
,,,2.79
,,,2.183
,,,1.674
,,,1.311
,,,1.17
,,,1.165
,,,1.219
,,,1.165
,,,0.926
,,,0.844
,,,0.744
,,,0.825
,,,0.889
,,,0.933
,,,1.901
,,,3.23
,,,4.452
,,,5.01
,,,4.774
,,,4.232
,,,3.628
,,,2.98
,,,2.537
,,,2.18
,,,1.725
,,,1.374
,,,1.252
,,,1.116
,,,0.958
,,,1.023
,,,1.165
,,,1.459
,,,1.624
,,,1.695
,,,1.644
,,,1.846
,,,2.238
,,,2.669
,,,3.022
,,,2.991
,,,3.098
,,,3.234
,,,3.153
,,,3.015
,,,2.398
,,,1.47
,,,0.528
,,,0.185
,,,0.111
,,,0.121
,,,0.262
,,,0.253
,,,0.455
,,,0.426
,,,0.232
,,,-0.017
,,,-0.174
,,,-0.151
,,,-0.271
,,,-0.849
,,,-0.898
,,,0.01
,,,0.594
,,,0.785
,,,1.006
,,,1.322
,,,1.651
,,,2.132
,,,3.146
,,,5.122
,,,6.337
,,,6.743
,,,6.881
,,,7.518
,,,7.903
,,,7.775
,,,7.276
,,,6.577
,,,5.972
,,,5.411
,,,5.242
,,,5.088
,,,4.659
,,,4.362
,,,4.367
,,,4.461
,,,4.991
,,,6.098
,,,7.267
,,,8.029
,,,8.293
,,,7.986
,,,6.797
,,,4.491
,,,3.806
,,,4.175
,,,4.435
,,,4.034
,,,4.336
,,,4.451
,,,4.308
,,,4.133
,,,4.253
,,,4.868
,,,5.094
,,,5.491
,,,6.095
,,,6.685
,,,7.457
,,,8.349
,,,9.567
,,,10.432
,,,10.768
,,,11.164
,,,11.719
,,,11.856
,,,11.504
,,,11.116
,,,10.906
,,,10.574
,,,10.144
,,,9.81
,,,9.305
,,,8.598
,,,8.378
,,,8.651
,,,9.452
,,,10.354
,,,10.816
,,,10.895
,,,11.089
,,,11.375
,,,11.618
,,,11.703
,,,11.7
,,,11.138
,,,9.768
,,,7.664
,,,5.883
,,,5.439
,,,5.302
,,,5.101
,,,5.467
,,,6.018
,,,6.284
,,,6.202
,,,6.081
,,,5.836
,,,5.484
,,,5.249
,,,5.11
,,,5.034
,,,5.009
,,,4.981
,,,4.888
,,,4.655
,,,4.484
,,,4.713
,,,5.523
,,,6.43
,,,7.369
,,,7.918
,,,8.11
,,,7.858
,,,6.894
,,,5.392
,,,4.473
,,,4.214
,,,4.274
,,,4.465
,,,4.503
,,,4.174
,,,4.13
,,,4.088
,,,3.934
,,,3.813
,,,3.722
,,,3.774
,,,3.841
,,,3.88
,,,3.924
,,,4.162
,,,4.71
,,,5.463
,,,6.154
,,,6.605
,,,6.806
,,,6.72
,,,5.899
,,,4.662
,,,3.884
,,,2.896
,,,2.572
,,,3.191
,,,3.075
,,,2.238
,,,1.753
,,,1.061
,,,1.17
,,,1.388
,,,1.547
,,,1.88
,,,2.166
,,,2.535
,,,3.013
,,,3.758
,,,4.751
,,,5.652
,,,6.458
,,,7.068
,,,7.764
,,,8.389
,,,8.722
,,,8.947
,,,8.947
,,,8.987
,,,9.129
,,,9.249
,,,9.187
,,,9
,,,8.733
,,,8.405
,,,8.225
,,,8.261
,,,8.23
,,,8.295
,,,8.476
,,,8.654
,,,8.627
,,,8.898
,,,9.623
,,,10.506
,,,11.392
,,,12.09
,,,12.406
,,,12.212
,,,11.674
,,,11.129
,,,10.747
,,,10.421
,,,10.194
,,,9.826
,,,9.621
,,,9.404
,,,8.907
,,,8.52
,,,8.317
,,,8.242
,,,8.289
,,,8.352
,,,8.39
,,,8.381
,,,8.344
,,,8.756
,,,9.366
,,,9.837
,,,10.161
,,,10.238
,,,9.863
,,,9.171
,,,8.027
,,,5.811
,,,4.131
,,,3.209
,,,2.527
,,,1.849
,,,1.188
,,,0.579
,,,0.067
,,,-0.38
,,,-0.64
,,,-0.77
,,,-0.869
,,,-1
,,,-1.033
,,,-0.924
,,,-0.495
,,,0.629
,,,1.192
,,,1.936
,,,3.256
,,,4.786
,,,5.577
,,,5.592
,,,4.398
,,,3.516
,,,4.138
,,,4.737
,,,5.409
,,,6.426
,,,7.623
,,,8.408
,,,8.355
,,,7.726
,,,7.042
,,,6.65
,,,6.544
,,,6.452
,,,6.319
,,,6.185
,,,5.948
,,,5.74
,,,5.751
,,,6.034
,,,6.122
,,,5.67
,,,5.187
,,,4.736
,,,4.074
,,,3.111
,,,2.27
,,,1.793
,,,1.595
,,,1.666
,,,2.154
,,,2.595
,,,2.673
,,,2.473
,,,2.34
,,,2.455
,,,2.628
,,,2.565
,,,1.712
,,,1.166
,,,1.226
,,,1.814
,,,3.145
,,,4.524
,,,5.492
,,,5.895
,,,5.962
,,,5.715
,,,4.993
,,,4.014
,,,3.556
,,,3.342
,,,2.642
,,,1.982
,,,1.622
,,,1.353
,,,1.142
,,,1.076
,,,1.005
,,,0.964
,,,1.085
,,,1.212
,,,1.216
,,,1.118
,,,1.16
,,,1.637
,,,2.75
,,,4.029
,,,5.53
,,,6.371
,,,6.608
,,,6.376
,,,5.2
,,,2.445
,,,1.183
,,,0.506
,,,-0.066
,,,-0.574
,,,-1.059
,,,-0.825
,,,0.093
,,,0.356
,,,0.912
,,,1.175
,,,1.143
,,,1.118
,,,1.079
,,,0.983
,,,1.123
,,,1.574
,,,2.037
,,,2.427
,,,2.806
,,,3.087
,,,3.297
,,,3.378
,,,3.235
,,,2.598
,,,2.165
,,,1.917
,,,1.822
,,,1.748
,,,1.705
,,,1.741
,,,1.764
,,,1.784
,,,1.747
,,,1.77
,,,1.307
,,,0.38
,,,-0.681
,,,-1.408
,,,-1.681
,,,-0.701
,,,0.898
,,,2.487
,,,3.569
,,,4.144
,,,4.287
,,,4.006
,,,3.302
,,,1.769
,,,0.56
,,,-0.032
,,,-0.504
,,,-0.864
,,,-0.83
,,,-0.87
,,,-0.929
,,,-1.108
,,,-1.188
,,,-1.327
,,,-1.538
,,,-1.882
,,,-2.194
,,,-2.39
,,,-2.578
,,,-1.439
,,,0.032
,,,1.692
,,,2.671
,,,3.111
,,,3.25
,,,3.093
,,,2.352
,,,0.433
,,,-0.367
,,,-0.661
,,,-1.17
,,,-1.621
,,,-2.04
,,,-2.607
,,,-2.83
,,,-2.755
,,,-2.552
,,,-2.457
,,,-2.46
,,,-2.52
,,,-2.646
,,,-2.622
,,,-2.362
,,,-1.36
,,,-0.115
,,,1.084
,,,1.663
,,,1.912
,,,1.886
,,,1.642
,,,0.684
,,,-1.511
,,,-1.933
,,,-1.761
,,,-1.778
,,,-1.639
,,,-1.257
,,,-0.734
,,,-0.59
,,,-0.65
,,,-0.839
,,,-1.28
,,,-1.688
,,,-2.035
,,,-2.359
,,,-2.729
,,,-2.894
,,,-2.114
,,,-0.588
,,,1.252
,,,2.557
,,,3.278
,,,3.509
,,,3.122
,,,1.385
,,,-0.483
,,,-0.979
,,,-1.073
,,,-1.438
,,,-2.15
,,,-2.376
,,,-2.33
,,,-2.299
,,,-2.268
,,,-2.393
,,,-2.569
,,,-2.398
,,,-2.151
,,,-1.841
,,,-1.468
,,,-1.06
,,,0.31
,,,1.854
,,,3.223
,,,4.262
,,,4.856
,,,4.988
,,,4.697
,,,4.312
,,,3.925
,,,3.801
,,,3.828
,,,4.163
,,,4.444
,,,4.577
,,,4.653
,,,4.496
,,,4.087
,,,3.649
,,,3.631
,,,3.981
,,,4.333
,,,3.97
,,,2.981
,,,1.802
,,,1.611
,,,2.234
,,,3.17
,,,3.876
,,,4.324
,,,4.509
,,,4.421
,,,3.981
,,,2.929
,,,1.715
,,,0.71
,,,-0.386
,,,-1.021
,,,-1.529
,,,-1.75
,,,-1.895
,,,-1.99
,,,-1.951
,,,-1.699
,,,-1.496
,,,-1.109
,,,-0.665
,,,-0.553
,,,-0.066
,,,1.272
,,,3.085
,,,4.815
,,,6.086
,,,6.564
,,,6.702
,,,6.788
,,,6.959
,,,7.097
,,,7.222
,,,7.425
,,,7.661
,,,7.967
,,,8.431
,,,9.103
,,,8.946
,,,6.988
,,,5.249
,,,4.43
,,,3.836
,,,3.376
,,,2.919
,,,2.336
,,,1.877
,,,2.509
,,,3.569
,,,4.297
,,,4.72
,,,4.845
,,,4.598
,,,3.96
,,,3.212
,,,2.262
,,,1.448
,,,1.053
,,,0.672
,,,0.338
,,,0.111
,,,-0.211
,,,-0.47
,,,-0.65
,,,-1.008
,,,-1.36
,,,-1.65
,,,-1.897
,,,-1.837
,,,-1.776
,,,-1.576
,,,-0.218
,,,1.518
,,,3.509
,,,4.726
,,,5.404
,,,5.585
,,,5.36
,,,4.635
,,,2.908
,,,1.827
,,,1.54
,,,1.157
,,,0.747
,,,0.485
,,,0.446
,,,0.591
,,,0.971
,,,1.354
,,,1.75
,,,1.922
,,,1.95
,,,2.103
,,,2.453
,,,2.891
,,,3.262
,,,3.288
,,,3.254
,,,3.384
,,,3.548
,,,3.529
,,,3.538
,,,3.565
,,,3.013
,,,2.494
,,,1.871
,,,0.844
,,,0.031
,,,-0.629
,,,-1.181
,,,-1.758
,,,-2.206
,,,-2.11
,,,-1.814
,,,-1.682
,,,-2.312
,,,-1.996
,,,-1.832
,,,-1.349
,,,0.024
,,,1.737
,,,3.359
,,,4.441
,,,4.401
,,,3.916
,,,3.446
,,,3.262
,,,3.476
,,,3.787
,,,4.148
,,,4.776
,,,5.498
,,,6.16
,,,6.573
,,,6.58
,,,6.837
,,,6.717
,,,6.122
,,,5.523
,,,5.18
,,,5.103
,,,5.016
,,,4.786
,,,5.171
,,,5.723
,,,6.518
,,,7.25
,,,7.626
,,,7.632
,,,7.262
,,,6.432
,,,4.971
,,,3.544
,,,2.725
,,,2.226
,,,1.734
,,,1.358
,,,1.088
,,,0.795
,,,0.328
,,,-0.203
,,,-0.618
,,,-0.936
,,,-1.07
,,,-1.073
,,,-0.899
,,,-0.345
,,,1.292
,,,2.92
,,,5.23
,,,7.101
,,,7.903
,,,8.141
,,,7.918
,,,7.005
,,,4.694
,,,3.165
,,,2.876
,,,2.787
,,,2.531
,,,2.054
,,,1.679
,,,1.472
,,,1.178
,,,0.276
,,,-0.041
,,,-0.03
,,,0.113
,,,0.559
,,,0.474
,,,0.748
,,,2.283
,,,4.036
,,,6.027
,,,7.4
,,,8.047
,,,8.335
,,,8.206
,,,7.47
,,,5.972
,,,4.633
,,,4.25
,,,3.763
,,,3.099
,,,2.303
,,,1.754
,,,1.664
,,,2.179
,,,2.872
,,,2.956
,,,3.055
,,,2.993
,,,2.941
,,,2.945
,,,3.169
,,,3.746
,,,4.651
,,,5.442
,,,6.212
,,,6.926
,,,7.359
,,,7.333
,,,7.002
,,,6.326
,,,5.773
,,,5.675
,,,5.452
,,,5.279
,,,5.1
,,,5.021
,,,4.927
,,,4.975
,,,4.964
,,,4.969
,,,5.073
,,,5.085
,,,5.176
,,,5.262
,,,5.543
,,,6.357
,,,7.241
,,,8.23
,,,9.329
,,,10.291
,,,10.894
,,,11.034
,,,10.794
,,,9.961
,,,9.123
,,,8.771
,,,8.496
,,,8.234
,,,8.071
,,,7.756
,,,7.567
,,,7.315
,,,7.1
,,,6.85
,,,6.807
,,,6.925
,,,7.064
,,,7.105
,,,6.733
,,,6.373
,,,6.809
,,,7.671
,,,8.526
,,,9.022
,,,9.138
