hour,Winter,Spring,Sum,Autumn,average,,load
1,0.2,0,0,0.2,0.1,,12.54586667
2,0.25,0,0,0,0.0625,,7.841166667
3,0,0.1,0.05,0.15,0.075,,9.4094
4,0,0.15,0.1,0,0.0625,,7.841166667
5,0,0.2,0.15,0.2,0.1375,,17.25056667
6,0.4,2,1.3,1.5,1.3,,163.0962667
7,6,9.3,4.5,6,6.45,,809.2084
8,10,8.9,6.7,10.5,9.025,,1132.264467
9,8.1,6.5,5,6.5,6.525,,818.6178
10,7.8,4,3.5,7.2,5.625,,705.705
11,3.3,2.2,1.5,2,2.25,,282.282
12,2.5,2.1,1.4,1.8,1.95,,244.6444
13,2.1,2,1.6,1.4,1.775,,222.6891333
14,2.3,1.6,1.3,1.7,1.725,,216.4162
15,3.4,1.3,1.5,1.2,1.85,,232.0985333
16,4,3.7,2,1.1,2.7,,338.7384
17,3.4,3.9,4.3,2,3.4,,426.5594667
18,9.5,6.9,7,3.7,6.775,,849.9824667
19,8.9,8.9,4.7,4.8,6.825,,856.2554
20,5.4,5,4.1,6.5,5.25,,658.658
21,3.9,2.5,1.7,2.6,2.675,,335.6019333
22,4.4,2.1,1,1.1,2.15,,269.7361333
23,2,1,0.1,0.8,0.975,,122.3222
24,1.6,0.3,0,0.1,0.5,,62.72933333
,,,,,70.1625,,8802.4937
